column,f_index,sensor_type,gps_leakage_risk,sample_val_row1,sample_val_row2
timestamp,,unknown,False,1970-01-01 00:00:00.148570132,1970-01-01 00:00:00.149076163
armed_f0,f0,unknown,False,1,1
prearmed_f0,f0,unknown,False,0,0
ready_to_arm_f0,f0,unknown,False,1,1
lockdown_f0,f0,unknown,False,0,0
manual_lockdown_f0,f0,unknown,False,0,0
force_failsafe_f0,f0,unknown,False,0,0
in_esc_calibration_mode_f0,f0,unknown,False,0,0
timestamp_sample_f1,f1,unknown,False,148565436,149065437
control[0]_f1,f1,control_output,False,0.73486656,0.7736609
control[1]_f1,f1,control_output,False,,
control[2]_f1,f1,control_output,False,,
control[3]_f1,f1,control_output,False,,
control[4]_f1,f1,control_output,False,,
control[5]_f1,f1,control_output,False,,
control[6]_f1,f1,control_output,False,,
control[7]_f1,f1,control_output,False,,
control[8]_f1,f1,control_output,False,,
control[9]_f1,f1,control_output,False,,
control[10]_f1,f1,control_output,False,,
control[11]_f1,f1,control_output,False,,
reversible_flags_f1,f1,unknown,False,0,0
noutputs_f2,f2,actuator,False,8,8
output[0]_f2,f2,control_output,False,1688.0,1719.0
output[1]_f2,f2,control_output,False,0.0,0.0
output[2]_f2,f2,control_output,False,0.0,0.0
output[3]_f2,f2,control_output,False,0.0,0.0
output[4]_f2,f2,control_output,False,0.0,0.0
output[5]_f2,f2,control_output,False,0.0,0.0
output[6]_f2,f2,control_output,False,0.0,0.0
output[7]_f2,f2,control_output,False,0.0,0.0
output[8]_f2,f2,control_output,False,0.0,0.0
output[9]_f2,f2,control_output,False,0.0,0.0
output[10]_f2,f2,control_output,False,0.0,0.0
output[11]_f2,f2,control_output,False,0.0,0.0
output[12]_f2,f2,control_output,False,0.0,0.0
output[13]_f2,f2,control_output,False,0.0,0.0
output[14]_f2,f2,control_output,False,0.0,0.0
output[15]_f2,f2,control_output,False,0.0,0.0
noutputs_f3,f3,actuator,False,9,9
output[0]_f3,f3,control_output,False,1688.0,1719.0
output[1]_f3,f3,control_output,False,1527.0,1432.0
output[2]_f3,f3,control_output,False,1668.0,1602.0
output[3]_f3,f3,control_output,False,1528.0,1506.0
output[4]_f3,f3,control_output,False,1100.0,1100.0
output[5]_f3,f3,control_output,False,1500.0,1500.0
output[6]_f3,f3,control_output,False,0.0,0.0
output[7]_f3,f3,control_output,False,0.0,0.0
output[8]_f3,f3,control_output,False,0.0,0.0
output[9]_f3,f3,control_output,False,0.0,0.0
output[10]_f3,f3,control_output,False,0.0,0.0
output[11]_f3,f3,control_output,False,0.0,0.0
output[12]_f3,f3,control_output,False,0.0,0.0
output[13]_f3,f3,control_output,False,0.0,0.0
output[14]_f3,f3,control_output,False,0.0,0.0
output[15]_f3,f3,control_output,False,0.0,0.0
timestamp_sample_f4,f4,unknown,False,148565436,149065437
control[0]_f4,f4,control_output,False,0.053554412,-0.13692608
control[1]_f4,f4,control_output,False,-0.053554412,0.13692608
control[2]_f4,f4,control_output,False,0.33613867,0.2041966
control[3]_f4,f4,control_output,False,0.055378098,0.011829084
control[4]_f4,f4,control_output,False,,
control[5]_f4,f4,control_output,False,,
control[6]_f4,f4,control_output,False,,
control[7]_f4,f4,control_output,False,,
timestamp_sample_f5,f5,unknown,False,148559421,149559127
indicated_airspeed_m_s_f5,f5,airspeed,False,17.053782,20.798702
true_airspeed_m_s_f5,f5,airspeed,False,17.575407,21.43459
confidence_f5,f5,unknown,False,1.0,1.0
indicated_airspeed_m_s_f6,f6,airspeed,False,,
calibrated_airspeed_m_s_f6,f6,airspeed,False,,
true_airspeed_m_s_f6,f6,airspeed,False,,
calibrated_ground_minus_wind_m_s_f6,f6,unknown,False,,
calibraded_airspeed_synth_m_s_f6,f6,unknown,False,,
airspeed_derivative_filtered_f6,f6,unknown,False,0.0,0.0
throttle_filtered_f6,f6,unknown,False,0.5356423,0.6885917
pitch_filtered_f6,f6,unknown,False,0.0,0.0
airspeed_source_f6,f6,unknown,False,-1,-1
timestamp_sample_f7,f7,unknown,False,0,0
windspeed_north_f7,f7,wind,True,2.2683809,2.1022096
windspeed_east_f7,f7,wind,True,-0.5731689,-0.5319983
variance_north_f7,f7,unknown,False,0.14098798,0.13801968
variance_east_f7,f7,unknown,False,0.2342162,0.24323872
tas_innov_f7,f7,unknown,False,,
tas_innov_var_f7,f7,unknown,False,,
tas_scale_raw_f7,f7,unknown,False,,
tas_scale_raw_var_f7,f7,unknown,False,,
