f_index,col_count,sensor_types,has_leakage,sample_cols
f0,7,{'unknown': 7},False,armed_f0|prearmed_f0|ready_to_arm_f0
f1,14,"{'control_output': 12, 'unknown': 2}",False,timestamp_sample_f1|control[0]_f1|control[1]_f1
f10,4,{'unknown': 4},False,io_errors_f10|frames_tx_f10|frames_rx_f10
f100,11,"{'unknown': 7, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f100|device_id_f100|x_f100
f101,11,"{'unknown': 7, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f101|device_id_f101|x_f101
f102,5,"{'unknown': 4, 'temperature': 1}",False,timestamp_sample_f102|device_id_f102|pressure_f102
f103,5,"{'unknown': 4, 'temperature': 1}",False,timestamp_sample_f103|device_id_f103|pressure_f103
f104,13,{'unknown': 13},False,gyro_rad[0]_f104|gyro_rad[1]_f104|gyro_rad[2]_f104
f105,34,{'unknown': 34},False,timestamp_sample_f105|latitude_deg_f105|longitude_deg_f105
f106,11,"{'unknown': 7, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f106|device_id_f106|x_f106
f107,11,"{'unknown': 7, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f107|device_id_f107|x_f107
f108,11,"{'unknown': 7, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f108|device_id_f108|x_f108
f109,7,"{'unknown': 3, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f109|device_id_f109|x_f109
f11,4,{'unknown': 4},False,io_errors_f11|frames_tx_f11|frames_rx_f11
f110,7,"{'unknown': 3, 'ned_position': 3, 'temperature': 1}",True,timestamp_sample_f110|device_id_f110|x_f110
f111,1,{'unknown': 1},False,normalized_setpoint_f111
f112,16,"{'unknown': 14, 'battery': 2}",False,voltage5v_v_f112|voltage_payload_v_f112|sensors3v3[0]_f112
f113,24,"{'unknown': 19, 'airspeed': 5}",False,altitude_sp_f113|altitude_reference_f113|altitude_time_constant_f113
f114,37,{'unknown': 37},False,data_rate_f114|rate_multiplier_f114|tx_rate_avg_f114
f115,37,{'unknown': 37},False,data_rate_f115|rate_multiplier_f115|tx_rate_avg_f115
f116,4,{'unknown': 4},False,timestamp_sample_f116|xyz[0]_f116|xyz[1]_f116
f117,8,"{'unknown': 6, 'baro_alt': 1, 'temperature': 1}",False,timestamp_sample_f117|baro_device_id_f117|baro_alt_meter_f117
f118,7,{'unknown': 7},False,timestamp_sample_f118|xyz[0]_f118|xyz[1]_f118
f119,10,"{'unknown': 6, 'quaternion': 4}",False,timestamp_sample_f119|q[0]_f119|q[1]_f119
f12,5,{'unknown': 5},False,defer_failsafes_timeout_s_f12|disable_auto_disarm_f12|defer_failsafes_f12
f120,8,{'unknown': 8},False,yaw_sp_move_rate_f120|q_d[0]_f120|q_d[1]_f120
f121,15,{'unknown': 15},False,flag_armed_f121|flag_multicopter_position_control_enabled_f121|flag_control_manual_enabled_f121
f122,17,"{'unknown': 14, 'gps_lat_lon': 2, 'gps_alt': 1}",True,timestamp_sample_f122|lat_f122|lon_f122
f123,34,{'unknown': 34},False,timestamp_sample_f123|latitude_deg_f123|longitude_deg_f123
f124,15,"{'unknown': 7, 'delta_angle': 3, 'delta_velocity': 3, 'delta_dt': 2}",False,timestamp_sample_f124|accel_device_id_f124|gyro_device_id_f124
f125,15,"{'unknown': 7, 'delta_angle': 3, 'delta_velocity': 3, 'delta_dt': 2}",False,timestamp_sample_f125|accel_device_id_f125|gyro_device_id_f125
f126,15,"{'unknown': 7, 'delta_angle': 3, 'delta_velocity': 3, 'delta_dt': 2}",False,timestamp_sample_f126|accel_device_id_f126|gyro_device_id_f126
f127,31,"{'unknown': 29, 'temperature': 2}",False,accel_device_id_f127|gyro_device_id_f127|accel_clipping[0]_f127
f128,31,"{'unknown': 29, 'temperature': 2}",False,accel_device_id_f128|gyro_device_id_f128|accel_clipping[0]_f128
